! 0-33|Cyberdeck Other2|5|Availability|$Cost|Street Index|Multiplier|Book.Page|
1-Programs
2-Programming Suite
3-* Programming Suite Rating [1]   33|2/7days|1500|1|15|mat.79|
3-* Programming Suite Rating [2]   33|2/7days|6000|1|15|mat.79|
3-* Programming Suite Rating [3]   33|2/7days|13500|1|15|mat.79|
3-* Programming Suite Rating [4]   33|4/7days|48000|1.5|15|mat.79|
3-* Programming Suite Rating [5]   33|4/7days|75000|1.5|15|mat.79|
3-* Programming Suite Rating [6]   33|4/7days|108000|1.5|15|mat.79|
3-* Programming Suite Rating [7]   33|8/14days|367500|2|15|mat.79|
3-* Programming Suite Rating [8]   33|8/14days|480000|2|15|mat.79|
3-* Programming Suite Rating [9]   33|8/14days|607500|2|15|mat.79|
3-* Programming Suite Rating [10]  33|16/30days|1500000|3|15|mat.79|
2-Operational Utilities
3-Analyze
4-* Analyze Rating [1]             33|2/7days|300|1|3|sr3.220|
4-* Analyze Rating [2]             33|2/7days|1200|1|3|sr3.220|
4-* Analyze Rating [3]             33|2/7days|2700|1|3|sr3.220|
4-* Analyze Rating [4]             33|4/7days|9600|1.5|3|sr3.220|
4-* Analyze Rating [5]             33|4/7days|15000|1.5|3|sr3.220|
4-* Analyze Rating [6]             33|4/7days|21600|1.5|3|sr3.220|
4-* Analyze Rating [7]             33|8/14days|73500|2|3|sr3.220|
4-* Analyze Rating [8]             33|8/14days|96000|2|3|sr3.220|
4-* Analyze Rating [9]             33|8/14days|121500|2|3|sr3.220|
4-* Analyze Rating [10]            33|16/30days|300000|3|3|sr3.220|
3-Browse
4-* Browse Rating [1]              33|2/7days|100|1|1|sr3.220|
4-* Browse Rating [2]              33|2/7days|400|1|1|sr3.220|
4-* Browse Rating [3]              33|2/7days|900|1|1|sr3.220|
4-* Browse Rating [4]              33|4/7days|3200|1.5|1|sr3.220|
4-* Browse Rating [5]              33|4/7days|5000|1.5|1|sr3.220|
4-* Browse Rating [6]              33|4/7days|7200|1.5|1|sr3.220|
4-* Browse Rating [7]              33|8/14days|24500|2|1|sr3.220|
4-* Browse Rating [8]              33|8/14days|32000|2|1|sr3.220|
4-* Browse Rating [9]              33|8/14days|40500|2|1|sr3.220|
4-* Browse Rating [10]             33|16/30days|100000|3|1|sr3.220|
3-Camo
4-* Camo Rating [1]                33|2/7days|300|1|3|mat.70|   
